step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_gt_correlation_mean_spearman,reward_gt_correlation_n,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
0,0.19,0.31875,0.15,0.25125,0.22983870967741934,0.28305555555555556,0.140625,0.2309375,0.03822937625754527,0.3033838973162194,2026-04-03T04:08:53,-0.0292,75,1200,0.4357,0.7834,75,1200,0.3312,0.1254,65.0,25,100,75,self_bootstrap,0,,0,,769.803125,677.820625
1,0.23,0.33039092055485497,0.2,0.2900378310214376,0.15029761904761904,0.21654647435897437,0.195,0.28727931904161413,0.03330049261083744,0.2452554744525547,2026-04-03T04:23:18,-0.0182,70,1120,0.4135,0.7654,70,1120,0.3624,0.0691,59.0,30,100,70,self_bootstrap,0,,0,,799.2875,655.768125
2,0.3,0.36875,0.23,0.28875,0.26,0.2851341807909605,0.22125,0.287734375,0.035357275083302483,0.35409457900807384,2026-04-03T04:36:25,-0.0197,72,1152,0.4521,0.7884,72,1152,0.3351,0.0874,64.0,28,100,72,self_bootstrap,0,,0,,759.04,647.733125
3,0.23,0.3682219419924338,0.22,0.32786885245901637,0.1484375,0.2092551622418879,0.211875,0.3212484237074401,0.014579620929855824,0.37047756874095517,2026-04-03T04:49:12,0.0045,72,1152,0.3821,0.7733,72,1152,0.3494,0.2158,64.0,28,100,72,self_bootstrap,0,,0,,776.295625,641.6775
4,0.28,0.3866498740554156,0.29,0.3413098236775819,0.17732558139534885,0.20977209944751382,0.22625,0.28644521410579343,0.02610487749026792,0.2391048292108363,2026-04-03T05:01:40,-0.0138,74,1184,0.3986,0.7557,74,1184,0.3637,0.1102,60.0,26,100,74,self_bootstrap,0,,0,,787.6575,641.153125
5,0.22,0.34,0.25,0.32875,0.1987179487179487,0.23883161512027493,0.181875,0.275859375,0.026285973260820304,0.18797814207650276,2026-04-03T05:14:34,-0.0426,74,1184,0.3943,0.8019,74,1184,0.3419,0.1002,62.0,26,100,74,self_bootstrap,0,,0,,806.879375,659.41625
6,0.27,0.345,0.21,0.27625,0.20833333333333334,0.26457597173144876,0.176875,0.24828125,0.027333677153171736,0.20493827160493827,2026-04-03T05:27:35,0.0012,65,1040,0.3933,0.7729,65,1040,0.3556,0.1831,51.0,35,100,65,self_bootstrap,0,,0,,769.55,668.44
7,0.25,0.36125,0.23,0.33,0.2015625,0.23781446540880502,0.19875,0.2809375,0.03290719696969697,0.4051724137931034,2026-04-03T05:40:26,-0.0009,76,1216,0.4065,0.7663,76,1216,0.3554,0.1461,64.0,24,100,76,self_bootstrap,0,,0,,760.648125,668.54625
8,0.23,0.35125,0.21,0.29875,0.15029761904761904,0.20373134328358208,0.209375,0.290390625,0.018541409147095178,0.31226765799256506,2026-04-03T05:53:35,-0.0181,74,1184,0.3717,0.8029,74,1184,0.3362,0.1531,58.0,26,100,74,self_bootstrap,0,,0,,764.370625,658.300625
9,0.35,0.449874686716792,0.3,0.36215538847117795,0.171875,0.21844211822660098,0.25375,0.32980889724310775,0.018944519621109608,0.23451327433628322,2026-04-03T06:06:44,-0.0043,70,1120,0.3889,0.7668,70,1120,0.3655,0.1766,64.0,30,100,70,self_bootstrap,0,,0,,759.495,658.356875
10,0.26,0.3925,0.24,0.37,0.13953488372093023,0.16797994269340974,0.218125,0.313671875,0.01912568306010929,0.32432432432432434,2026-04-03T06:19:34,-0.0089,71,1136,0.3651,0.7868,71,1136,0.3592,0.101,63.0,29,100,71,self_bootstrap,0,,0,,778.41,667.816875
11,0.29,0.3675,0.28,0.35,0.08333333333333333,0.0960014409221902,0.216875,0.28671875,0.01599663228793938,0.26280623608017817,2026-04-03T06:32:28,-0.0492,69,1104,0.3333,0.7804,69,1104,0.3688,-0.0258,55.0,31,100,69,self_bootstrap,0,,0,,762.573125,636.8775
12,0.27,0.36397984886649876,0.23,0.31738035264483627,0.06976744186046512,0.0841565349544073,0.205625,0.29526133501259444,0.015017833677492022,0.2541966426858513,2026-04-03T06:45:10,-0.0487,60,960,0.3352,0.7968,60,960,0.3581,0.0781,48.0,40,100,60,self_bootstrap,0,,0,,760.565,661.00375
13,0.24,0.3542713567839196,0.22,0.30904522613065327,0.09722222222222222,0.12298387096774194,0.213125,0.29004396984924624,0.008441091954022989,0.32258064516129037,2026-04-03T06:57:26,-0.0099,58,928,0.328,0.7684,58,928,0.3875,0.1589,47.0,42,100,58,self_bootstrap,0,,0,,742.70875,656.81625
14,0.28,0.39875,0.27,0.38,0.07125,0.10138539042821158,0.248125,0.347109375,0.009452411994784877,0.2948717948717948,2026-04-03T07:09:24,0.0031,52,832,0.3183,0.7744,52,832,0.3788,0.2605,45.0,48,100,52,self_bootstrap,0,,0,,740.165625,655.61125
15,0.22,0.345,0.18,0.27,0.054276315789473686,0.06548804780876494,0.156875,0.24546875,0.005141388174807198,0.3308270676691729,2026-04-03T07:20:43,-0.0278,51,816,0.2873,0.8027,51,816,0.3635,0.0653,44.0,49,100,51,self_bootstrap,0,,0,,829.35125,676.919375
16,0.32,0.4075,0.29,0.36625,0.0525,0.05788177339901478,0.25375,0.32671875,0.007850342408551862,0.25867507886435326,2026-04-03T07:32:17,-0.0376,42,672,0.2808,0.8402,42,672,0.3418,0.0534,38.0,58,100,42,self_bootstrap,0,,0,,798.681875,642.89
17,0.3,0.41125,0.23,0.3,0.03676470588235294,0.046785714285714285,0.21875,0.301953125,0.003740648379052369,0.2184873949579832,2026-04-03T07:43:02,-0.0447,42,672,0.2828,0.8173,42,672,0.3578,-0.2131,34.0,58,100,42,self_bootstrap,0,,0,,763.8075,632.056875
18,0.25,0.34125,0.22,0.2825,0.025297619047619048,0.03159153005464481,0.22875,0.300625,0.0031380753138075313,0.06896551724137934,2026-04-03T07:53:37,-0.0068,30,480,0.2776,0.8074,30,480,0.38,0.2932,26.0,70,100,30,self_bootstrap,0,,0,,769.91125,660.3375
19,0.17,0.28,0.17,0.27,0.0125,0.016121031746031748,0.1575,0.247421875,0.0,0.36170212765957444,2026-04-03T08:03:35,-0.0385,26,416,0.3009,0.7985,26,416,0.3781,0.0234,23.0,74,100,26,self_bootstrap,0,,0,,785.49,696.34625
20,0.2,0.2825,0.21,0.28375,0.01744186046511628,0.03033387622149837,0.191875,0.283984375,0.0029771749917300696,0.5800000000000001,2026-04-03T08:13:51,-0.0452,25,400,0.2868,0.8566,25,400,0.335,0.1012,18.0,75,100,25,self_bootstrap,0,,0,,829.7325,674.589375
21,0.26,0.3634085213032581,0.26,0.3609022556390977,0.01278409090909091,0.015046296296296295,0.23625,0.33168859649122806,0.0003878975950349108,0.35,2026-04-03T08:23:47,-0.0082,18,288,0.2578,0.8382,18,288,0.3454,0.172,14.0,82,100,18,self_bootstrap,0,,0,,791.693125,627.513125
22,0.15,0.26875,0.15,0.255,0.05580357142857143,0.08341942148760331,0.15125,0.24890625,0.0006216972334473111,0.5949367088607596,2026-04-03T08:33:22,-0.0043,30,480,0.2991,0.8251,30,480,0.373,0.109,24.0,70,100,30,self_bootstrap,0,,0,,795.75625,673.5
23,0.27,0.3575,0.24,0.29625,0.05397727272727273,0.07871037463976946,0.216875,0.298203125,0.0030752532561505066,0.20108695652173914,2026-04-03T08:43:29,-0.0319,46,736,0.297,0.8127,46,736,0.3676,-0.0131,40.0,54,100,46,self_bootstrap,0,,0,,814.2875,667.5425
24,0.2,0.2875,0.22,0.285,0.010135135135135136,0.015727124183006536,0.19125,0.274140625,0.004169409699363616,0.1578947368421053,2026-04-03T08:54:55,-0.0243,26,416,0.2839,0.8183,26,416,0.3804,0.0554,20.0,74,100,26,self_bootstrap,0,,0,,862.434375,648.266875
25,0.2,0.30625,0.17,0.25625,0.029513888888888888,0.037037037037037035,0.185625,0.26453125,0.005049345880192793,0.4299065420560748,2026-04-03T09:29:15,-0.0429,35,560,0.2746,0.8187,35,560,0.3797,0.0427,32.0,65,100,35,self_bootstrap,0,,0,,781.0075,662.06
26,0.26,0.3625,0.24,0.34,0.017663043478260868,0.023928571428571428,0.21875,0.318828125,0.0067246186649171725,0.16455696202531644,2026-04-03T09:39:19,-0.0274,35,560,0.2672,0.8035,35,560,0.3806,0.0978,30.0,65,100,35,self_bootstrap,0,,0,,886.4075,654.384375
27,0.29,0.3669609079445145,0.29,0.3656998738965952,0.03260869565217391,0.04349226804123711,0.2425,0.323218789407314,0.001650467632495874,0.26086956521739135,2026-04-03T09:49:31,0.0112,19,304,0.3143,0.7285,19,304,0.4253,0.4988,17.0,81,100,19,self_bootstrap,0,,0,,762.735,610.005625
28,0.16,0.29773869346733667,0.14,0.2701005025125628,0.030303030303030304,0.022321428571428572,0.14,0.25274811557788945,0.00149508756941478,0.05494505494505497,2026-04-03T09:59:07,-0.0538,16,256,0.3,0.8012,16,256,0.3851,-0.1573,15.0,84,100,16,self_bootstrap,0,,0,,857.62125,661.97875
29,0.25,0.33208020050125314,0.21,0.30451127819548873,0.019736842105263157,0.03045886075949367,0.1975,0.26707393483709274,0.001080613788631943,0.3111111111111111,2026-04-03T10:08:25,-0.0123,19,304,0.2579,0.8365,19,304,0.3597,0.2002,17.0,81,100,19,self_bootstrap,0,,0,,794.186875,663.038125
30,0.19,0.31375,0.18,0.31125,0.005067567567567568,0.004744224422442244,0.189375,0.3028125,0.0045701849836779105,0.06896551724137934,2026-04-03T10:17:39,-0.0619,14,224,0.277,0.8065,14,224,0.388,-0.2569,12.0,86,100,14,self_bootstrap,0,,0,,844.540625,675.233125
31,0.23,0.3125,0.24,0.3225,0.0,0.0004032258064516129,0.19375,0.265078125,0.0020833333333333333,1.0,2026-04-03T10:26:59,-0.0733,4,64,0.2522,0.8438,4,64,0.3631,0.1274,4.0,96,100,4,self_bootstrap,0,,0,,775.47625,645.55
32,0.24,0.30125,0.25,0.3125,0.0026595744680851063,0.004278728606356968,0.255625,0.32625,0.0007293946024799417,0.0,2026-04-03T10:35:17,-0.0671,8,128,0.2744,0.9141,8,128,0.2803,0.6585,3.0,92,100,8,self_bootstrap,0,,0,,731.96625,614.63625
33,0.15,0.21875,0.13,0.1925,0.011513157894736841,0.0046875,0.175,0.250625,0.0009695559433779329,0.19780219780219777,2026-04-03T10:44:19,-0.0695,13,208,0.2968,0.8743,13,208,0.3243,0.0587,9.0,87,100,13,self_bootstrap,0,,0,,822.918125,713.409375
34,0.19,0.285,0.19,0.27875,0.014204545454545454,0.01590616966580977,0.243125,0.31859375,0.0002008435428800964,0.2786885245901639,2026-04-03T10:53:38,-0.0167,18,288,0.248,0.875,18,288,0.3281,0.3335,12.0,82,100,18,self_bootstrap,0,,0,,781.43125,675.100625
35,0.15,0.27044025157232704,0.15,0.26540880503144654,0.019230769230769232,0.03230574324324324,0.185,0.2658805031446541,0.0007689350249903883,0.3695652173913043,2026-04-03T11:03:11,-0.0436,16,256,0.2869,0.8218,16,256,0.3762,0.071,10.0,84,100,16,self_bootstrap,0,,0,,847.435625,668.145
36,0.28,0.32456140350877194,0.27,0.32456140350877194,0.00125,0.003711401425178147,0.263125,0.33521303258145363,0.0003301419610432486,0.0,2026-04-03T11:12:15,-0.061,16,256,0.2697,0.8511,16,256,0.337,0.1005,13.0,84,100,16,self_bootstrap,0,,0,,798.424375,617.020625
37,0.22,0.31125,0.22,0.30875,0.009615384615384616,0.01835029069767442,0.215,0.300390625,0.0008934554389099843,0.0,2026-04-03T11:21:08,-0.0551,9,144,0.2992,0.7778,9,144,0.3943,0.0088,7.0,91,100,9,self_bootstrap,0,,0,,762.750625,634.42375
38,0.21,0.28875,0.21,0.2925,0.00510204081632653,0.00564868804664723,0.214375,0.294375,0.0009971509971509972,0.2777777777777778,2026-04-03T11:29:20,-0.0822,11,176,0.2709,0.8761,11,176,0.3153,-0.1307,6.0,89,100,11,self_bootstrap,0,,0,,756.88625,629.885625
39,0.18,0.3,0.18,0.30125,0.009722222222222222,0.019637462235649546,0.206875,0.29828125,0.0,0.09999999999999998,2026-04-03T11:38:12,0.0089,8,128,0.3141,0.8125,8,128,0.3903,0.236,6.0,92,100,8,self_bootstrap,0,,0,,817.25875,622.679375
40,0.18,0.27625,0.18,0.26875,0.00641025641025641,0.0066254416961130744,0.176875,0.274609375,0.0,0.5588235294117647,2026-04-03T11:47:02,0.0872,2,32,0.2714,0.75,2,32,0.4146,0.7993,2.0,98,100,2,self_bootstrap,0,,0,,843.2225,665.206875
41,0.24,0.3358395989974937,0.23,0.3258145363408521,0.009308510638297872,0.016327247191011238,0.2225,0.31414473684210525,0.0004755865567533291,0.3928571428571429,2026-04-03T11:55:08,-0.0321,9,144,0.258,0.7854,9,144,0.4047,0.0684,8.0,91,100,9,self_bootstrap,0,,0,,830.90375,644.766875
42,0.22,0.27608142493638677,0.2,0.24936386768447838,0.016666666666666666,0.024566473988439308,0.21625,0.28530534351145037,0.0010130001688333614,0.06557377049180324,2026-04-03T12:03:24,0.0195,16,256,0.2677,0.7266,16,256,0.4457,0.3754,14.0,84,100,16,self_bootstrap,0,,0,,788.325625,617.818125
43,0.23,0.32875,0.23,0.31875,0.0046875,0.009712837837837838,0.185,0.275234375,0.0,1.0,2026-04-03T12:12:31,-0.0545,14,224,0.2397,0.897,14,224,0.294,-0.2166,8.0,86,100,14,self_bootstrap,0,,0,,850.914375,659.64125
44,0.23,0.30625,0.24,0.30125,0.009722222222222222,0.01146356783919598,0.24875,0.30890625,0.0009778994719342852,0.0,2026-04-03T12:21:49,-0.0711,8,128,0.2758,0.9089,8,128,0.2848,-0.1204,7.0,92,100,8,self_bootstrap,0,,0,,769.25125,653.581875
45,0.21,0.28085642317380355,0.2,0.2682619647355164,0.006648936170212766,0.009977409638554216,0.2075,0.2848709068010076,0.0005985335926978902,0.18918918918918914,2026-04-03T12:30:16,-0.0343,10,160,0.2271,0.8688,10,160,0.3218,-0.1027,9.0,90,100,10,self_bootstrap,0,,0,,799.7775,644.06875
46,0.17,0.23,0.18,0.23875,0.0014534883720930232,0.0009889240506329115,0.1975,0.2621875,0.000504965494024575,1.0,2026-04-03T12:39:04,-0.0592,5,80,0.23,0.925,5,80,0.2634,0.2596,3.0,95,100,5,self_bootstrap,0,,0,,770.38875,655.74875
47,0.3,0.3895939086294416,0.29,0.37944162436548223,0.005,0.007158590308370044,0.28375,0.3489054568527919,0.00018171906232963838,0.12121212121212122,2026-04-03T12:47:31,-0.0072,8,128,0.2826,0.879,8,128,0.3021,0.1374,6.0,92,100,8,self_bootstrap,0,,0,,756.3925,627.779375
48,0.21,0.2851758793969849,0.21,0.28015075376884424,0.0013020833333333333,0.00033875338753387534,0.230625,0.29954459798994976,0.00141287284144427,0.0714285714285714,2026-04-03T12:55:42,-0.0674,9,144,0.247,0.8611,9,144,0.3458,-0.3488,5.0,91,100,9,self_bootstrap,0,,0,,731.720625,606.056875
49,0.19,0.27,0.19,0.2675,0.0015625,0.0032258064516129032,0.19375,0.271328125,0.0007575757575757576,1.0,2026-04-03T13:04:19,-0.082,5,80,0.266,0.8913,5,80,0.2909,0.4633,4.0,95,100,5,self_bootstrap,0,,0,,735.80125,617.60875
50,0.28,0.34711779448621555,0.28,0.34711779448621555,0.003472222222222222,0.002858627858627859,0.300625,0.36387844611528825,0.0,0.46153846153846156,2026-04-03T13:35:45,-0.0174,4,64,0.2681,0.8438,4,64,0.3631,0.046,3.0,96,100,4,self_bootstrap,0,,0,,747.4075,607.041875
51,0.17,0.23875,0.16,0.23625,0.001893939393939394,0.0012550200803212851,0.155625,0.236015625,0.003143947900291938,0.0,2026-04-03T13:44:23,0.0003,2,32,0.239,0.7812,2,32,0.4134,-0.4984,2.0,98,100,2,self_bootstrap,0,,0,,775.9225,657.92875
52,0.24,0.33458646616541354,0.24,0.32706766917293234,0.004934210526315789,0.00541907514450867,0.21625,0.3068609022556391,0.0,0.4444444444444444,2026-04-03T13:52:40,-0.0369,7,112,0.2927,0.7857,7,112,0.4103,0.2984,4.0,93,100,7,self_bootstrap,0,,0,,797.470625,649.041875
53,0.17,0.295,0.17,0.295,0.0035714285714285713,0.0020408163265306124,0.153125,0.26390625,0.0,0.6666666666666667,2026-04-03T14:01:20,0.0074,5,80,0.3052,0.7975,5,80,0.3788,0.2484,4.0,95,100,5,self_bootstrap,0,,0,,827.2925,657.038125
54,0.14,0.19125,0.14,0.19,0.0,0.0,0.134375,0.1925,0.0,1.0,2026-04-03T14:10:24,-0.0781,4,64,0.2684,0.875,4,64,0.3307,-0.2683,3.0,96,100,4,self_bootstrap,0,,0,,933.25125,689.131875
55,0.2,0.3075,0.2,0.3075,0.0014534883720930232,0.0013345195729537367,0.175625,0.263125,0.0,0.0,2026-04-03T14:19:06,-0.0623,5,80,0.2412,0.875,5,80,0.3307,-0.1813,4.0,95,100,5,self_bootstrap,0,,0,,796.55375,657.575
56,0.19,0.2697616060225847,0.2,0.2797992471769134,0.0016891891891891893,0.0026993355481727574,0.188125,0.2547051442910916,0.0002149151085321298,0.0,2026-04-03T14:27:41,-0.0578,7,112,0.2627,0.8571,7,112,0.3499,-0.0046,5.0,93,100,7,self_bootstrap,0,,0,,797.65625,659.751875
57,0.3,0.3659147869674185,0.3,0.36466165413533835,0.0013020833333333333,0.002386634844868735,0.261875,0.3296522556390977,0.0005372492836676218,1.0,2026-04-03T14:36:18,-0.0889,4,64,0.2771,0.9375,4,64,0.2421,-0.2698,3.0,96,100,4,self_bootstrap,0,,0,,732.6925,649.7775
58,0.23,0.29375,0.23,0.28625,0.0,0.0,0.216875,0.290390625,0.0,1.0,2026-04-03T14:44:36,-0.0596,1,16,0.2309,0.6875,1,16,0.4635,-0.576,1.0,99,100,1,self_bootstrap,0,,0,,697.01875,664.98125
59,0.26,0.3278894472361809,0.25,0.3203517587939699,0.00125,0.00046182266009852215,0.25375,0.3235709798994975,0.0,0.0,2026-04-03T14:52:11,-0.0625,3,48,0.2421,0.8958,3,48,0.3055,-0.3779,2.0,97,100,3,self_bootstrap,0,,0,,670.779375,623.76125
60,0.26,0.3725,0.25,0.3625,0.0025,0.001388888888888889,0.253125,0.343984375,0.0004764173415912339,0.0,2026-04-03T15:00:38,-0.0619,3,48,0.2396,0.75,3,48,0.433,-0.6063,3.0,97,100,3,self_bootstrap,0,,0,,713.2525,622.338125
61,0.22,0.29873417721518986,0.22,0.3,0.0,0.0,0.214375,0.2897151898734177,0.0,1.0,2026-04-03T15:08:45,-0.0547,1,16,0.212,0.9375,1,16,0.2421,0.1475,1.0,99,100,1,self_bootstrap,0,,0,,672.644375,624.549375
62,0.21,0.28,0.21,0.28,0.0,0.0,0.189375,0.2715625,0.0,1.0,2026-04-03T15:17:02,0.0,2,32,0.25,0.7188,2,32,0.4496,,,98,100,2,self_bootstrap,0,,0,,770.6825,656.60875
63,0.25,0.33125,0.25,0.33,0.001524390243902439,0.0029498525073746312,0.211875,0.303125,0.0,1.0,2026-04-03T15:25:13,-0.0625,1,16,0.2421,0.875,1,16,0.3307,-0.5955,1.0,99,100,1,self_bootstrap,0,,0,,712.013125,653.788125
64,0.14,0.18125,0.14,0.18125,0.0,0.0,0.17375,0.258984375,0.00019904458598726116,1.0,2026-04-03T15:33:34,-0.0509,1,16,0.1971,0.9375,1,16,0.2421,0.2202,1.0,99,100,1,self_bootstrap,0,,0,,774.6825,663.819375
